Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
,03/01/2006,45,Yellow,1017,1074,1045,
,04/01/2006,83,Yellow,1024,1096,1088,
,05/01/2006,96,Yellow,993,1087,1076,
,07/01/2006,71,Yellow,1041,1113,1083,
,09/01/2006,772,Yellow,1030,1123,1090,
,10/01/2006,36,Yellow,941,1104,1086,
,11/01/2006,2,Yellow,1035,1035,1035,
,12/01/2006,38,Yellow,1049,1102,1090,
,13/01/2006,17,Yellow,1058,1088,1075,
,17/01/2006,12,Yellow,1083,1096,1084,
,18/01/2006,44,Yellow,1040,1098,1090,
,19/01/2006,5,Yellow,1052,1078,1066,
,20/01/2006,40,Yellow,1003,1083,1077,
,21/01/2006,43,Yellow,1045,1100,1082,
,23/01/2006,12,Yellow,1074,1107,1088,
,24/01/2006,30,Other,1055,1105,1075,
,25/01/2006,52,Other,1016,1096,1066,
,27/01/2006,40,Other,1032,1091,1075,
,28/01/2006,71,Other,1018,1100,1088,
,30/01/2006,60,Other,1120,1158,1135,
,31/01/2006,71,Other,1001,1095,1077,
Dhar,02/01/2006,274.7,Yellow,1000,1150,1120,
,03/01/2006,384.5,Yellow,1020,1146,1120,
,04/01/2006,467.2,Yellow,1001,1164,1150,
,05/01/2006,343.8,Yellow,1003,1170,1150,
,07/01/2006,535.5,Yellow,1025,1174,1150,
,09/01/2006,391.1,Yellow,1002,1178,1160,
,10/01/2006,394.4,Yellow,1004,1166,1150,
,12/01/2006,440.9,Yellow,1021,1176,1160,
,13/01/2006,414.8,Yellow,1020,1161,1150,
,16/01/2006,364.3,Yellow,1001,1167,1150,
,17/01/2006,377.2,Yellow,1035,1158,1140,
,18/01/2006,387.1,Yellow,1002,1155,1130,
,19/01/2006,428.6,Yellow,1015,1151,1130,
,20/01/2006,372.8,Yellow,1020,1158,1130,
,21/01/2006,331.6,Yellow,1011,1152,1130,
,23/01/2006,308,Yellow,1001,1168,1150,
,24/01/2006,364.1,Yellow,1000,1174,1150,
,25/01/2006,495.6,Yellow,1012,1156,1140,
,27/01/2006,460.5,Yellow,1001,1157,1140,
,28/01/2006,407.1,Yellow,1023,1161,1150,
,31/01/2006,265.8,Yellow,1018,1170,1160,
Ganjbasoda,05/01/2006,99.8,Yellow,900,1116,1108,
,06/01/2006,137.8,Yellow,660,1111,1100,
,07/01/2006,112.5,Yellow,970,1134,1125,
,09/01/2006,148.8,Yellow,933,1141,1125,
,10/01/2006,182.5,Yellow,879,1121,1110,
,12/01/2006,124.2,Yellow,1013,1122,1115,
,21/01/2006,115.1,Yellow,950,1114,1105,
,23/01/2006,147,Yellow,1082,1125,1106,
,24/01/2006,136.1,Yellow,1075,1117,1104,
,25/01/2006,146.6,Yellow,1071,1115,1106,
,27/01/2006,113.5,Yellow,984,1108,1097,
Gotegaon,02/01/2006,76.5,Yellow,1045,1060,1055,
,03/01/2006,43.5,Yellow,1040,1061,1060,
,05/01/2006,33.3,Yellow,1050,1075,1050,
,06/01/2006,14,Yellow,1070,1075,1075,
,09/01/2006,107.9,Yellow,1035,1105,1080,
,10/01/2006,126.3,Yellow,1060,1100,1080,
,12/01/2006,54.2,Yellow,1051,1090,1085,
,13/01/2006,38,Yellow,1078,1090,1080,
,16/01/2006,7.5,Yellow,1085,1094,1094,
,17/01/2006,53.5,Yellow,1075,1090,1080,
,18/01/2006,43.5,Yellow,1080,1100,1100,
,20/01/2006,73.8,Yellow,1070,1085,1075,
,23/01/2006,33.1,Yellow,1080,1080,1080,
,25/01/2006,112.8,Yellow,1070,1110,1085,
,27/01/2006,59,Yellow,1085,1100,1090,
,30/01/2006,122.2,Yellow,1065,1105,1090,
,31/01/2006,52.1,Yellow,1065,1100,1090,
Harda,02/01/2006,659.5,Yellow,1000,1113,1111,
,03/01/2006,759.5,Yellow,999,1115,1109,
,04/01/2006,1016.9,Yellow,1010,1136,1110,
,05/01/2006,1014.3,Yellow,1020,1136,1127,
,06/01/2006,1025.1,Yellow,1015,1137,1110,
,07/01/2006,1000.9,Yellow,1060,1143,1115,
,09/01/2006,791.5,Yellow,1026,1171,1140,
,10/01/2006,781,Yellow,1035,1154,1130,
,12/01/2006,972.3,Yellow,1010,1144,1120,
,13/01/2006,714.1,Yellow,1027,1151,1140,
,16/01/2006,612.2,Yellow,1029,1150,1139,
,17/01/2006,588.6,Yellow,1031,1153,1145,
,19/01/2006,713.9,Yellow,1009,1126,1118,
,20/01/2006,646.9,Yellow,1022,1129,1123,
,21/01/2006,459,Yellow,1016,1140,1125,
,23/01/2006,504.2,Yellow,1026,1148,1139,
,24/01/2006,622.7,Yellow,1023,1148,1135,
,25/01/2006,610.1,Yellow,1023,1140,1135,
,27/01/2006,703.3,Yellow,1028,1148,1141,
,28/01/2006,594.5,Yellow,1039,1153,1147,
,30/01/2006,580.3,Yellow,1028,1152,1140,
,31/01/2006,563.1,Yellow,1040,1156,1150,
Indore(F&V),02/01/2006,312,Yellow,1035,1154,1140,
,03/01/2006,297.1,Yellow,1035,1158,1140,
,04/01/2006,482.4,Yellow,1055,1181,1165,
,05/01/2006,479.6,Yellow,1031,1174,1145,
,06/01/2006,444.5,Yellow,1061,1158,1125,
,07/01/2006,311.5,Yellow,1050,1174,1125,
,09/01/2006,326,Yellow,1080,1185,1140,
,10/01/2006,353.5,Yellow,1053,1184,1155,
,11/01/2006,87.9,Yellow,1106,1180,1130,
,12/01/2006,403.9,Yellow,1192,1707,NR,
,13/01/2006,398.9,Yellow,1050,1167,1150,
,16/01/2006,331.2,Yellow,1045,1169,1150,
,17/01/2006,322.6,Yellow,1058,1171,1140,
,18/01/2006,231.6,Yellow,1070,1180,1165,
,19/01/2006,317.9,Yellow,1028,1152,1140,
,20/01/2006,246,Yellow,1028,1160,1129,
,21/01/2006,313.8,Yellow,1041,1164,1141,
,23/01/2006,283.1,Yellow,1080,1168,1150,
,24/01/2006,262.4,Yellow,1035,1180,1147,
,25/01/2006,440.5,Yellow,1040,1167,1145,
,27/01/2006,393.6,Yellow,1085,1174,1139,
,28/01/2006,426.2,Yellow,1100,1182,1170,
,30/01/2006,436.3,Yellow,1125,1173,1150,
,31/01/2006,416.2,Yellow,1132,1186,1155,
Itarsi,02/01/2006,124,Yellow,1000,1119,1090,
,03/01/2006,217.6,Yellow,1050,1130,1100,
,04/01/2006,158,Yellow,976,1152,1140,
,05/01/2006,203.7,Yellow,1039,1154,1140,
,06/01/2006,192.5,Black,900,1000,1000,
,,,Yellow,1020,1140,1130,
,08/01/2006,147.5,Yellow,1001,1158,1145,
,09/01/2006,155.8,Yellow,1050,1170,1155,
,10/01/2006,210.7,Yellow,1050,1165,1155,
,12/01/2006,238.8,Black,1000,1000,1000,
,,,Yellow,1050,1154,1135,
,13/01/2006,121,Yellow,1020,1153,1130,
,16/01/2006,116.7,Yellow,1050,1440,1160,
,17/01/2006,148.2,Yellow,1051,1155,1135,
,18/01/2006,123.5,Yellow,1050,1155,1135,
,19/01/2006,141.3,Yellow,1050,1144,1120,
,20/01/2006,162.9,Yellow,1026,1145,1125,
,21/01/2006,131,Yellow,1025,1145,1135,
,23/01/2006,159,Yellow,1050,1159,1140,
,24/01/2006,162.3,Yellow,1050,1151,1145,
,25/01/2006,179.5,Yellow,1050,1147,1130,
,27/01/2006,2440,Black,1000,1000,1000,
,,,Yellow,1071,1138,1120,
,28/01/2006,109,Yellow,1080,1156,1145,
,30/01/2006,134.5,Yellow,1050,1157,1135,
,31/01/2006,144.2,Yellow,1022,1162,1145,
Jaora,02/01/2006,266.4,Yellow,1040,1130,1085,
,03/01/2006,262.7,Yellow,1097,1150,1123,
,04/01/2006,235.1,Yellow,1100,1155,1130,
,05/01/2006,199.9,Yellow,1115,1145,1130,
,07/01/2006,328.2,Yellow,1000,1160,1080,
,09/01/2006,222.1,Yellow,1094,1167,1130,
,10/01/2006,266.8,Yellow,1050,1161,1105,
,12/01/2006,205.1,Yellow,1030,1152,1091,
,13/01/2006,226.7,Yellow,1117,1147,1132,
,16/01/2006,312.8,Yellow,1120,1156,1138,
,17/01/2006,283.2,Yellow,1101,1147,1124,
,18/01/2006,216.6,Yellow,1080,1139,1109,
,19/01/2006,220.5,Yellow,1050,1143,1096,
,20/01/2006,224.4,Yellow,1061,1131,1096,
,21/01/2006,239.3,Yellow,1100,1136,1118,
,23/01/2006,228.4,Yellow,1120,1143,1131,
,24/01/2006,233.6,Yellow,1080,1152,1116,
,25/01/2006,270.8,Yellow,1050,1146,1098,
,27/01/2006,225.7,Yellow,1050,1140,1095,
,28/01/2006,221,Yellow,1050,1160,1105,
,30/01/2006,217.2,Yellow,1125,1160,1142,
,31/01/2006,218.1,Yellow,1110,1156,1133,
Jhabua,10/01/2006,29.08,Yellow,1100,1150,NR,
,11/01/2006,14.8,Yellow,1100,1200,1150,
,13/01/2006,31,Yellow,1100,1200,1150,
,14/01/2006,15.3,Yellow,1100,1200,1150,
,17/01/2006,15.39,Yellow,1100,1150,1100,
,18/01/2006,14.8,Yellow,1100,1150,1100,
,19/01/2006,14.8,Yellow,1100,1150,1100,
,21/01/2006,14.8,Yellow,1100,1150,1100,
,22/01/2006,14.8,Yellow,1050,1150,1100,
,23/01/2006,29.7,Yellow,1100,1150,1100,
,24/01/2006,45,Yellow,1100,1150,1100,
